model,seed,runtime,recurrent_trainable,order,N,trainable_params,recurrent_params,lr,acc_final,bwt,forgetting,fwt,learning_acc_mean,w_rec_drift,rep_drift_mean,R,diag,rep_drift,epochs,wall_seconds
connectome_frozen,0,sparse,0,"[0, 1, 2, 3, 4]",5000,1932468,407331,0.001,0.6231,-0.22675,0.22675,0.07187500000000002,0.8045,0.0,2.038449564202409,"[[0.8675, 0.725, 0.622, 0.424, 0.7025], [0.6065, 0.735, 0.691, 0.507, 0.5245], [0.5415, 0.68, 0.742, 0.578, 0.4645], [0.4335, 0.458, 0.525, 0.868, 0.614], [0.6595, 0.5825, 0.522, 0.476, 0.81]]","[0.8675, 0.735, 0.742, 0.868, 0.81]","[2.81002, 2.60824, 2.67958, 2.09441, 0.0]","[14, 9, 10, 14, 12]",29.2
connectome_frozen,2,sparse,0,"[1, 4, 2, 0, 3]",5000,1932468,407331,0.001,0.5809,-0.28187500000000004,0.28187500000000004,0.02637500000000001,0.8064,0.0,2.144464955339129,"[[0.747, 0.5545, 0.6705, 0.635, 0.5175], [0.6045, 0.8345, 0.61, 0.726, 0.5105], [0.691, 0.475, 0.744, 0.617, 0.581], [0.664, 0.699, 0.6095, 0.855, 0.444], [0.479, 0.5485, 0.54, 0.4165, 0.8515]]","[0.747, 0.8345, 0.744, 0.855, 0.8515]","[3.21643, 2.87126, 2.15956, 2.47508, 0.0]","[11, 14, 12, 10, 13]",28.3
connectome_trainable,1,sparse,1,"[3, 0, 4, 1, 2]",5000,2339799,407331,0.001,0.6601,-0.191125,0.191125,0.09,0.813,8.475875854492188,4.868293219122478,"[[0.8695, 0.538, 0.573, 0.496, 0.519], [0.4285, 0.853, 0.7275, 0.719, 0.6695], [0.479, 0.689, 0.835, 0.71, 0.651], [0.514, 0.6305, 0.545, 0.744, 0.6975], [0.546, 0.5605, 0.5215, 0.6975, 0.7635]]","[0.8695, 0.853, 0.835, 0.744, 0.7635]","[7.83873, 6.92827, 6.28693, 3.28753, 0.0]","[10, 10, 10, 10, 8]",28.2
connectome_pruned_frozen,0,sparse,0,"[0, 1, 2, 3, 4]",2312,1929780,159734,0.001,0.6216,-0.23600000000000002,0.23600000000000002,0.079625,0.8103999999999999,0.0,1.9383414036892987,"[[0.868, 0.711, 0.598, 0.433, 0.716], [0.6165, 0.741, 0.6915, 0.5195, 0.525], [0.5475, 0.6915, 0.76, 0.5905, 0.453], [0.4445, 0.4835, 0.5125, 0.864, 0.595], [0.678, 0.582, 0.5315, 0.498, 0.819]]","[0.868, 0.741, 0.76, 0.864, 0.819]","[2.71738, 2.5143, 2.39431, 2.06571, 0.0]","[14, 10, 12, 13, 13]",21.0
connectome_pruned_frozen,2,sparse,0,"[1, 4, 2, 0, 3]",2312,1929780,159734,0.001,0.5859,-0.278375,0.278375,0.01837499999999999,0.8086,0.0,2.0530697075500655,"[[0.7505, 0.554, 0.669, 0.6265, 0.521], [0.603, 0.8405, 0.6135, 0.7225, 0.5305], [0.6825, 0.479, 0.7535, 0.6265, 0.5655], [0.6635, 0.72, 0.5695, 0.852, 0.466], [0.4665, 0.524, 0.548, 0.422, 0.8465]]","[0.7505, 0.8405, 0.7535, 0.852, 0.8465]","[3.10555, 2.77475, 2.12722, 2.25784, 0.0]","[11, 13, 14, 10, 17]",24.1
connectome_pruned_trainable,1,sparse,1,"[3, 0, 4, 1, 2]",2312,2089514,159734,0.001,0.6486,-0.20075,0.20075,0.07699999999999999,0.8091999999999999,6.76001501083374,4.6717252018201805,"[[0.874, 0.5285, 0.575, 0.4845, 0.5245], [0.4195, 0.849, 0.6845, 0.704, 0.631], [0.452, 0.667, 0.8315, 0.686, 0.6365], [0.505, 0.626, 0.5255, 0.739, 0.6985], [0.5155, 0.5565, 0.5025, 0.696, 0.7525]]","[0.874, 0.849, 0.8315, 0.739, 0.7525]","[6.88893, 7.15187, 5.93942, 3.37841, 0.0]","[9, 10, 10, 10, 8]",20.8
dense_trainable,0,dense,1,"[0, 1, 2, 3, 4]",5000,26932468,25000000,0.0001,0.6266,-0.245375,0.245375,0.06512500000000003,0.8229,6.132997035980225,3.7742867469787598,"[[0.8785, 0.7425, 0.6925, 0.429, 0.6915], [0.6165, 0.7545, 0.7025, 0.4785, 0.5065], [0.5545, 0.682, 0.747, 0.525, 0.4925], [0.4595, 0.4935, 0.495, 0.882, 0.59], [0.6525, 0.64, 0.6085, 0.467, 0.8525]]","[0.8785, 0.7545, 0.747, 0.882, 0.8525]","[5.57349, 4.07252, 4.24026, 4.98517, 0.0]","[10, 9, 9, 10, 10]",17.4
dense_trainable,2,dense,1,"[1, 4, 2, 0, 3]",5000,26932468,25000000,0.0001,0.5839,-0.29325,0.29325,0.03899999999999998,0.8185,6.133037567138672,4.586789894104004,"[[0.7355, 0.5545, 0.6635, 0.667, 0.5135], [0.6255, 0.85, 0.6155, 0.716, 0.4875], [0.6905, 0.483, 0.768, 0.5795, 0.5605], [0.656, 0.702, 0.59, 0.871, 0.49], [0.4865, 0.504, 0.522, 0.4575, 0.868]]","[0.7355, 0.85, 0.768, 0.871, 0.868]","[5.10368, 6.5679, 4.65198, 6.61039, 0.0]","[11, 9, 10, 9, 10]",17.7
mlp,1,mlp,1,"[3, 0, 4, 1, 2]",0,1931102,0,0.001,0.6304000000000001,-0.217,0.217,0.09099999999999998,0.804,0.0,59.03634185791016,"[[0.854, 0.4915, 0.525, 0.562, 0.531], [0.4895, 0.8475, 0.722, 0.6065, 0.637], [0.472, 0.6975, 0.8425, 0.5925, 0.5715], [0.492, 0.6175, 0.5005, 0.7305, 0.667], [0.5, 0.5715, 0.4815, 0.6765, 0.7455]]","[0.854, 0.8475, 0.8425, 0.7305, 0.7455]","[66.69302, 86.3228, 89.41308, 52.75282, 0.0]","[9, 10, 8, 11, 9]",2.2
random_sparse_frozen,0,sparse,0,"[0, 1, 2, 3, 4]",5000,1932468,407331,0.001,0.6362,-0.22100000000000003,0.22100000000000003,0.05487499999999999,0.8130000000000001,0.0,1.0957525093666631,"[[0.8485, 0.72, 0.663, 0.414, 0.706], [0.5765, 0.743, 0.6995, 0.503, 0.5225], [0.4805, 0.6775, 0.771, 0.606, 0.479], [0.408, 0.481, 0.495, 0.873, 0.644], [0.6855, 0.5905, 0.5305, 0.4705, 0.8295]]","[0.8485, 0.743, 0.771, 0.873, 0.8295]","[1.89118, 1.52084, 1.23479, 0.83195, 0.0]","[15, 21, 21, 19, 22]",44.2
random_sparse_frozen,2,sparse,0,"[1, 4, 2, 0, 3]",5000,1932468,407331,0.001,0.5882,-0.27837500000000004,0.27837500000000004,0.03837499999999998,0.8109,0.0,1.4733989224566444,"[[0.7435, 0.577, 0.691, 0.6325, 0.5195], [0.563, 0.836, 0.634, 0.723, 0.517], [0.6895, 0.505, 0.754, 0.627, 0.5895], [0.671, 0.694, 0.6375, 0.8595, 0.4535], [0.455, 0.56, 0.5385, 0.448, 0.8615]]","[0.7435, 0.836, 0.754, 0.8595, 0.8615]","[2.22065, 2.00031, 1.60259, 1.54345, 0.0]","[19, 16, 16, 17, 24]",41.6
weight_shuffle_frozen,1,sparse,0,"[3, 0, 4, 1, 2]",5000,1932468,407331,0.001,0.6308,-0.217125,0.217125,0.06599999999999998,0.8045,0.0,1.0788901094624492,"[[0.88, 0.5055, 0.5875, 0.524, 0.565], [0.4215, 0.8575, 0.738, 0.713, 0.609], [0.4755, 0.6825, 0.8175, 0.672, 0.558], [0.4615, 0.5595, 0.5035, 0.7205, 0.675], [0.5315, 0.512, 0.4525, 0.6565, 0.747]]","[0.88, 0.8575, 0.8175, 0.7205, 0.747]","[1.78137, 1.4567, 1.20866, 0.94772, 0.0]","[18, 22, 13, 12, 14]",36.2
connectome_frozen,1,sparse,0,"[3, 0, 4, 1, 2]",5000,1932468,407331,0.001,0.6326,-0.21287499999999998,0.21287499999999998,0.07700000000000001,0.8029,0.0,1.8181277413522026,"[[0.876, 0.5025, 0.575, 0.5075, 0.5475], [0.4195, 0.8475, 0.7165, 0.714, 0.627], [0.4815, 0.7035, 0.834, 0.676, 0.5855], [0.4905, 0.564, 0.522, 0.724, 0.67], [0.518, 0.4845, 0.4645, 0.663, 0.733]]","[0.876, 0.8475, 0.834, 0.724, 0.733]","[3.15935, 2.4144, 2.09058, 1.42631, 0.0]","[15, 11, 13, 12, 12]",33.0
connectome_trainable,0,sparse,1,"[0, 1, 2, 3, 4]",5000,2339799,407331,0.001,0.6302000000000001,-0.229875,0.229875,0.07924999999999997,0.8140999999999998,9.559281349182129,5.2060515524458655,"[[0.8515, 0.696, 0.6675, 0.436, 0.71], [0.612, 0.7575, 0.694, 0.5205, 0.527], [0.531, 0.693, 0.7505, 0.5535, 0.476], [0.4245, 0.48, 0.5155, 0.869, 0.596], [0.6945, 0.61, 0.5785, 0.4965, 0.842]]","[0.8515, 0.7575, 0.7505, 0.869, 0.842]","[7.79199, 6.73028, 6.21408, 5.29391, 0.0]","[9, 10, 10, 10, 9]",28.1
connectome_trainable,2,sparse,1,"[1, 4, 2, 0, 3]",5000,2339799,407331,0.001,0.5852,-0.279875,0.279875,0.035624999999999976,0.8091000000000002,9.03178596496582,5.155018318686109,"[[0.752, 0.5605, 0.669, 0.6725, 0.526], [0.587, 0.835, 0.6035, 0.7235, 0.4725], [0.6815, 0.4975, 0.7445, 0.613, 0.5775], [0.6825, 0.7045, 0.583, 0.865, 0.501], [0.466, 0.501, 0.526, 0.475, 0.849]]","[0.752, 0.835, 0.7445, 0.865, 0.849]","[6.51751, 7.00659, 5.90456, 6.34643, 0.0]","[11, 9, 8, 10, 9]",27.1
connectome_pruned_frozen,1,sparse,0,"[3, 0, 4, 1, 2]",2312,1929780,159734,0.001,0.63,-0.20999999999999996,0.20999999999999996,0.07800000000000001,0.7979999999999999,0.0,1.6725593783036232,"[[0.875, 0.5225, 0.5875, 0.5055, 0.543], [0.4375, 0.851, 0.7005, 0.6985, 0.6185], [0.4655, 0.6835, 0.8125, 0.662, 0.579], [0.4775, 0.5765, 0.52, 0.715, 0.673], [0.5345, 0.4995, 0.465, 0.671, 0.7365]]","[0.875, 0.851, 0.8125, 0.715, 0.7365]","[2.8546, 2.18364, 2.05791, 1.26664, 0.0]","[16, 13, 13, 12, 10]",23.2
connectome_pruned_trainable,0,sparse,1,"[0, 1, 2, 3, 4]",2312,2089514,159734,0.001,0.6214000000000001,-0.239625,0.239625,0.06649999999999999,0.8131,7.217967510223389,5.316671840099514,"[[0.8565, 0.6975, 0.652, 0.443, 0.7125], [0.598, 0.7515, 0.6985, 0.51, 0.5185], [0.5595, 0.6895, 0.752, 0.539, 0.4445], [0.4675, 0.482, 0.4945, 0.8635, 0.5895], [0.6715, 0.603, 0.543, 0.484, 0.842]]","[0.8565, 0.7515, 0.752, 0.8635, 0.842]","[7.32072, 7.04857, 6.88745, 5.32662, 0.0]","[10, 10, 8, 10, 9]",18.9
connectome_pruned_trainable,2,sparse,1,"[1, 4, 2, 0, 3]",2312,2089514,159734,0.001,0.5778000000000001,-0.290375,0.290375,0.032500000000000015,0.8101,6.6705145835876465,5.113092780002063,"[[0.7485, 0.5665, 0.6765, 0.658, 0.5315], [0.5895, 0.832, 0.5885, 0.716, 0.4685], [0.6835, 0.49, 0.754, 0.608, 0.5705], [0.663, 0.699, 0.5895, 0.862, 0.4645], [0.4685, 0.5235, 0.5315, 0.461, 0.854]]","[0.7485, 0.832, 0.754, 0.862, 0.854]","[6.59729, 6.93834, 5.81052, 6.21931, 0.0]","[11, 9, 8, 9, 9]",18.4
dense_trainable,1,dense,1,"[3, 0, 4, 1, 2]",5000,26932468,25000000,0.0001,0.6403000000000001,-0.22262500000000005,0.22262500000000005,0.09374999999999999,0.8183999999999999,4.394070148468018,3.4138909816741942,"[[0.875, 0.526, 0.5255, 0.452, 0.502], [0.4845, 0.8575, 0.774, 0.668, 0.6595], [0.506, 0.6815, 0.8355, 0.628, 0.57], [0.494, 0.621, 0.514, 0.756, 0.702], [0.5235, 0.531, 0.485, 0.695, 0.768]]","[0.875, 0.8575, 0.8355, 0.756, 0.768]","[6.18377, 5.07304, 3.93302, 1.87962, 0.0]","[10, 10, 8, 10, 9]",17.0
mlp,0,mlp,1,"[0, 1, 2, 3, 4]",0,1931102,0,0.001,0.619,-0.26087499999999997,0.26087499999999997,0.078625,0.8276999999999999,0.0,62.28120422363281,"[[0.876, 0.708, 0.5985, 0.425, 0.7165], [0.5985, 0.757, 0.653, 0.483, 0.506], [0.5155, 0.678, 0.7685, 0.537, 0.4715], [0.413, 0.49, 0.5335, 0.884, 0.548], [0.681, 0.647, 0.5215, 0.5045, 0.853]]","[0.876, 0.757, 0.7685, 0.884, 0.853]","[89.88895, 79.51142, 75.30919, 66.69646, 0.0]","[12, 13, 10, 9, 9]",2.3
mlp,2,mlp,1,"[1, 4, 2, 0, 3]",0,1931102,0,0.001,0.5506,-0.33237500000000003,0.33237500000000003,0.040999999999999995,0.8164999999999999,0.0,61.93731155395508,"[[0.7285, 0.5305, 0.6535, 0.619, 0.4825], [0.58, 0.8435, 0.581, 0.6665, 0.4515], [0.663, 0.532, 0.7605, 0.5365, 0.5405], [0.657, 0.6755, 0.622, 0.864, 0.3925], [0.537, 0.5865, 0.521, 0.43, 0.886]]","[0.7285, 0.8435, 0.7605, 0.864, 0.886]","[76.19431, 95.33163, 63.77785, 74.38277, 0.0]","[11, 10, 10, 9, 9]",2.2
random_sparse_frozen,1,sparse,0,"[3, 0, 4, 1, 2]",5000,1932468,407331,0.001,0.6254000000000001,-0.22762499999999997,0.22762499999999997,0.08,0.8074999999999999,0.0,0.7200953880041808,"[[0.879, 0.4955, 0.56, 0.5485, 0.56], [0.419, 0.85, 0.7365, 0.6795, 0.591], [0.4725, 0.6975, 0.8255, 0.66, 0.549], [0.4635, 0.575, 0.524, 0.738, 0.682], [0.5475, 0.5185, 0.449, 0.6795, 0.745]]","[0.879, 0.85, 0.8255, 0.738, 0.745]","[1.26234, 0.98045, 0.81476, 0.54292, 0.0]","[24, 24, 21, 19, 14]",46.3
weight_shuffle_frozen,0,sparse,0,"[0, 1, 2, 3, 4]",5000,1932468,407331,0.001,0.6325,-0.22487500000000005,0.22487500000000005,0.07374999999999998,0.8124,0.0,1.3458867513476065,"[[0.8595, 0.7535, 0.6745, 0.4275, 0.699], [0.599, 0.7485, 0.705, 0.5025, 0.525], [0.5205, 0.6845, 0.762, 0.5815, 0.475], [0.4355, 0.453, 0.5145, 0.8715, 0.643], [0.6715, 0.623, 0.5515, 0.497, 0.8205]]","[0.8595, 0.7485, 0.762, 0.8715, 0.8205]","[2.31474, 1.83929, 1.51673, 1.05868, 0.0]","[19, 13, 13, 17, 14]",35.1
weight_shuffle_frozen,2,sparse,0,"[1, 4, 2, 0, 3]",5000,1932468,407331,0.001,0.5805,-0.283875,0.283875,0.01125000000000001,0.8076000000000001,0.0,1.3781260673060984,"[[0.753, 0.5815, 0.6845, 0.6405, 0.504], [0.548, 0.827, 0.621, 0.733, 0.5075], [0.7085, 0.4895, 0.745, 0.6055, 0.5855], [0.661, 0.7045, 0.5775, 0.8475, 0.44], [0.46, 0.5525, 0.563, 0.43, 0.8655]]","[0.753, 0.827, 0.745, 0.8475, 0.8655]","[1.99385, 1.88793, 1.47622, 1.53263, 0.0]","[19, 16, 12, 10, 23]",36.8
